Reference No,Created Date,Supplier Code,Seller Name,SKU,Product,Units,Buying Price,Cost Amount,Currency
REF-7042,15-Jan-26,SC-800,Pacific Import Co,SKU-602,Component Part 2,3.0,220.0,660.0,GBP
REF-7043,16-Feb-26,SC-801,Direct Metal Sales,SKU-603,Component Part 3,4.0,205.0,820.0,GBP
REF-7044,17-Mar-26,SC-802,Advanced Circuits,SKU-604,Component Part 4,5.0,250.0,1250.0,GBP
REF-7045,18-Apr-26,SC-800,Pacific Import Co,SKU-600,Component Part 0,6.0,235.0,1410.0,GBP
REF-7046,19-May-26,SC-801,Direct Metal Sales,SKU-601,Component Part 1,7.0,220.0,1540.0,GBP
REF-7047,20-Jun-26,SC-802,Advanced Circuits,SKU-602,Component Part 2,8.0,205.0,1640.0,GBP
REF-7048,21-Jan-26,SC-800,Pacific Import Co,SKU-603,Component Part 3,1.0,250.0,250.0,GBP
REF-7049,22-Feb-26,SC-801,Direct Metal Sales,SKU-604,Component Part 4,2.0,235.0,470.0,GBP
REF-7050,23-Mar-26,SC-802,Advanced Circuits,SKU-600,Component Part 0,3.0,220.0,660.0,GBP
REF-7051,24-Apr-26,SC-800,Pacific Import Co,SKU-601,Component Part 1,4.0,205.0,820.0,GBP
REF-7052,25-May-26,SC-801,Direct Metal Sales,SKU-602,Component Part 2,5.0,250.0,1250.0,GBP
REF-7053,26-Jun-26,SC-802,Advanced Circuits,SKU-603,Component Part 3,6.0,235.0,1410.0,GBP
REF-7054,27-Jan-26,SC-800,Pacific Import Co,SKU-604,Component Part 4,7.0,220.0,1540.0,GBP
REF-7055,28-Feb-26,SC-801,Direct Metal Sales,SKU-600,Component Part 0,8.0,205.0,1640.0,GBP
REF-7056,01-Mar-26,SC-802,Advanced Circuits,SKU-601,Component Part 1,1.0,250.0,250.0,GBP
REF-7057,02-Apr-26,SC-800,Pacific Import Co,SKU-602,Component Part 2,2.0,235.0,470.0,GBP
REF-7058,03-May-26,SC-801,Direct Metal Sales,SKU-603,Component Part 3,3.0,220.0,660.0,GBP
REF-7059,04-Jun-26,SC-802,Advanced Circuits,SKU-604,Component Part 4,4.0,205.0,820.0,GBP
REF-7060,05-Jan-26,SC-800,Pacific Import Co,SKU-600,Component Part 0,5.0,250.0,1250.0,GBP
