Bill No,Posting Date,Party Code,Party Name,SKU,Product,Volume,Selling Price,Revenue,Outlet,Currency
B-3051,24-Apr-26,PTY-703,Local Supply,M-901,Medium Rotor,2.0,90.0,180.0,HQ Division,GBP
B-3052,25-May-26,PTY-704,Direct Sales,M-902,Light Shaft,3.0,120.0,360.0,Sub Outlet A,GBP
B-3053,26-Jun-26,PTY-705,Mega Retail,M-903,Standard Gear,4.0,110.0,440.0,Sub Outlet B,GBP
B-3054,27-Jan-26,PTY-700,Pacific Corp,M-904,Micro Bearings,5.0,100.0,500.0,HQ Division,GBP
B-3055,28-Feb-26,PTY-701,Atlantic Trading,M-900,Heavy Engine,1.0,90.0,90.0,Sub Outlet A,GBP
B-3056,01-Mar-26,PTY-702,Global Import,M-901,Medium Rotor,2.0,120.0,240.0,Sub Outlet B,GBP
B-3057,02-Apr-26,PTY-703,Local Supply,M-902,Light Shaft,3.0,110.0,330.0,HQ Division,GBP
B-3058,03-May-26,PTY-704,Direct Sales,M-903,Standard Gear,4.0,100.0,400.0,Sub Outlet A,GBP
B-3059,04-Jun-26,PTY-705,Mega Retail,M-904,Micro Bearings,5.0,90.0,450.0,Sub Outlet B,GBP
B-3060,05-Jan-26,PTY-700,Pacific Corp,M-900,Heavy Engine,1.0,120.0,120.0,HQ Division,GBP
